iteration,average_train_loss,average_test_loss,best_training_acc,best_training_threshold,best_testing_acc,best_testing_threshold
93,0.007404149,0.092241409,0.98609375,0.56,0.75625,0.41
94,0.006087026,0.108729209,0.988671875,0.51,0.75390625,0.32
95,0.005262896,0.103805286,0.990234375,0.41,0.75234375,0.32
96,0.004351405,0.104452887,0.9921875,0.57,0.7609375,0.64
97,0.005283778,0.104394525,0.98953125,0.52,0.74453125,0.44
98,0.007574133,0.109401706,0.984375,0.51,0.75703125,0.44
99,0.006203816,0.106859596,0.988515625,0.54,0.7578125,0.63
100,0.006314759,0.110851003,0.9871875,0.65,0.7546875,0.72
101,0.00594978,0.10513245,0.989296875,0.45,0.75234375,0.55
102,0.004211173,0.104068264,0.9921875,0.48,0.75,0.57
103,0.006230266,0.099279417,0.988359375,0.51,0.76953125,0.55
104,0.005492257,0.110098902,0.99,0.59,0.74609375,0.52
105,0.004553601,0.10037589,0.9915625,0.54,0.76015625,0.63
106,0.004660579,0.108063304,0.991484375,0.61,0.75625,0.75
107,0.004640635,0.104342698,0.99125,0.4,0.7671875,0.57
108,0.004637341,0.102078008,0.991171875,0.54,0.765625,0.52
109,0.007178359,0.101803684,0.985078125,0.54,0.74609375,0.41
110,0.004170615,0.111306952,0.992578125,0.46,0.75078125,0.69
111,0.004647106,0.105389494,0.991484375,0.43,0.76796875,0.46
112,0.004843324,0.104693102,0.99125,0.5,0.75625,0.28
113,0.004889019,0.110722508,0.990390625,0.51,0.74921875,0.19
114,0.006991493,0.110905589,0.986171875,0.42,0.753125,0.32
115,0.006077228,0.096078181,0.987734375,0.47,0.7828125,0.74
116,0.00426136,0.106970707,0.991796875,0.43,0.74921875,0.36
117,0.00400835,0.105493422,0.992265625,0.41,0.7546875,0.39
